timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
155558600,-0.021235574,-0.0076825293,-0.027892927,3999,0,0.058089208,0.50491935,-9.869575,3999
155562600,0.022461114,-0.013334428,-0.028752452,4000,0,-0.9492061,0.0463229,-10.402205,4000
155566600,-0.024786038,0.015932586,-0.025609875,4000,0,-0.06711511,0.6771246,-9.252379,4000
155570600,0.0071975496,-0.0013063671,-0.019523012,4000,0,0.042054072,0.07302102,-10.055199,4000
155574600,0.0058325464,-0.008016822,-0.024272475,4000,0,-0.21262123,0.8159836,-10.101502,4000
155578602,-0.013110655,0.005338018,-0.020714743,4002,0,-0.75000024,0.8311657,-9.942889,4002
155582600,0.009585212,0.021912804,-0.0057478105,3998,0,0.2327028,-0.09348893,-9.594081,3998
155586599,0.0044413516,-0.01693472,0.0031075492,3999,0,-0.17321824,-0.13274673,-9.861529,3999
155590600,-0.04072211,-0.015573772,0.006959808,4001,0,-0.5572422,1.4600204,-9.616139,4001
155594600,0.04228007,0.019227322,0.017255478,4000,0,-0.9754532,-0.1939368,-10.305619,4000
155598600,0.0124432985,0.023718065,0.028065803,4000,0,0.53932136,0.33356676,-9.7836075,4000
155602600,-0.01802115,-0.031616252,0.012495426,4000,0,-0.5026404,0.73766696,-9.870595,4000
155606600,-0.013106498,-0.0072551686,0.01525015,4000,0,-0.29730687,0.59132403,-9.747249,4000
155610600,0.014728117,0.013696427,0.030892098,4000,0,0.09125616,0.15662447,-10.17165,4000
155614600,-0.019407328,0.0025627182,0.03325846,4000,0,-0.35434657,-0.04267222,-9.583305,4000
155618600,0.013063315,-0.02168939,0.008791787,4000,0,-0.55655605,0.57339376,-10.03341,4000
155622600,-0.005227669,0.019659113,0.025420256,4000,0,0.11040658,0.14640664,-10.269142,4000
155626599,0.008835725,-0.0019106441,0.009935892,3999,0,-0.10044502,0.36789915,-9.35832,3999
155630600,-0.029161636,-0.015788034,-0.0111369565,4001,0,-0.21110259,0.8383723,-9.326617,4001
155634600,0.005136873,-0.0025920072,0.0013843458,4000,0,-0.08765176,0.06444471,-10.286748,4000
155638599,0.012148225,0.03310634,0.000790727,3999,0,-0.2453494,-0.2909517,-9.584582,3999
155642600,-0.025337864,-0.02969814,-0.017052323,4001,0,-0.09222793,0.6716487,-9.175339,4001
155646600,-0.0022940065,-0.011675799,-0.01488031,4000,0,-0.38361296,0.11865443,-10.667878,4000
155650600,0.021320133,0.03849427,-0.020653956,4000,0,-0.1630892,0.42330956,-9.80324,4000
155654601,0.0059132883,-0.018527696,-0.020223558,4001,0,-0.48752084,0.5711455,-9.71449,4001
155658601,-0.017901419,-0.0040022237,-0.02460101,4000,0,0.30377644,0.20097546,-9.939356,4000
155662600,0.023488525,0.011458429,-0.0132398745,3999,0,-0.5292044,0.039824933,-10.271999,3999
155666600,0.009509578,0.017698383,-0.009770948,4000,0,-0.2901116,0.7259675,-9.19913,4000
155670599,-0.004717482,-0.018112998,-0.008641923,3999,0,-0.16380884,0.12485656,-10.052808,3999
155674600,0.0008506011,-0.004818816,-0.006191869,4001,0,-0.36308688,0.4220819,-10.116897,4001
155678602,0.024395691,0.012303453,-0.00890354,4002,0,-0.17558762,1.285473,-9.6371155,4002
155682600,-0.011708496,0.008282376,0.0045823175,3998,0,0.020586638,0.12502085,-10.204102,3998
