timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
277639840,0.06971847,-0.098505706,0.44732645
277662650,0.06971847,-0.095580116,0.44106743
277685110,0.06971847,-0.095580116,0.4348084
277709073,0.07270102,-0.098505706,0.44419694
277732951,0.07568358,-0.098505706,0.44419694
277754662,0.07270102,-0.098505706,0.44419694
277776650,0.07568358,-0.098505706,0.44732645
277800727,0.07568358,-0.098505706,0.4348084
277820678,0.07270102,-0.098505706,0.4316789
277841733,0.07270102,-0.098505706,0.44106743
277864643,0.0816487,-0.098505706,0.44106743
277888690,0.078666136,-0.1014313,0.4316789
277912696,0.0816487,-0.1014313,0.44732645
277936696,0.07568358,-0.1043569,0.4379379
277960694,0.0816487,-0.1043569,0.44106743
277983877,0.078666136,-0.1043569,0.4316789
278007851,0.0816487,-0.1014313,0.44106743
278030685,0.08463126,-0.1072825,0.4316789
278053640,0.0816487,-0.1072825,0.4379379
278076370,0.078666136,-0.1072825,0.44419694
278097639,0.078666136,-0.1043569,0.44106743
278120691,0.078666136,-0.1072825,0.44419694
278144694,0.0816487,-0.1043569,0.44732645
278167916,0.08463126,-0.1043569,0.4379379
278191969,0.08463126,-0.1014313,0.4379379
278214725,0.08463126,-0.1014313,0.44106743
278237647,0.09059636,-0.1014313,0.4379379
278260345,0.087613806,-0.1014313,0.44732645
278282674,0.087613806,-0.1072825,0.45045593
278305640,0.087613806,-0.1072825,0.4348084
278328686,0.09357892,-0.1102081,0.44106743
278351951,0.09357892,-0.1102081,0.4316789
278375950,0.09059636,-0.11313369,0.42854935
278399986,0.09059636,-0.1102081,0.42854935
278423876,0.09059636,-0.1102081,0.42854935
278447910,0.09059636,-0.1102081,0.4316789
278469638,0.09357892,-0.1072825,0.44419694
278492337,0.09357892,-0.1072825,0.44419694
278513645,0.09059636,-0.1072825,0.4348084
278535838,0.09357892,-0.1072825,0.44106743
278558720,0.096561484,-0.1072825,0.4316789
278581646,0.096561484,-0.1102081,0.4348084
278603639,0.09357892,-0.1072825,0.42229035
278625719,0.096561484,-0.1102081,0.4348084
278648744,0.096561484,-0.1102081,0.4348084
278669680,0.096561484,-0.11313369,0.4348084
278693262,0.096561484,-0.11605929,0.4316789
278714667,0.09954404,-0.11605929,0.44106743
278736689,0.096561484,-0.12191048,0.42854935
278758664,0.096561484,-0.12191048,0.42854935
278779648,0.09357892,-0.12483609,0.4316789
278801642,0.10252659,-0.12483609,0.4379379
278822675,0.09357892,-0.12776168,0.42229035
278843653,0.09357892,-0.13361287,0.4316789
278866678,0.09954404,-0.13653846,0.42541984
278888649,0.09357892,-0.13946407,0.4316789
278910163,0.09954404,-0.14238966,0.4316789
278933348,0.10252659,-0.14824086,0.42854935
278954638,0.10252659,-0.15116645,0.42229035
278976817,0.10252659,-0.15701765,0.41916084
279000698,0.10252659,-0.16579443,0.41916084
279022249,0.10550915,-0.17164563,0.42541984
279045341,0.10550915,-0.18334803,0.42854935
279066635,0.108491704,-0.19797601,0.4160313
279089614,0.108491704,-0.2096784,0.40351325
279112789,0.108491704,-0.22430637,0.40664276
279136645,0.114456825,-0.24185996,0.38160667
279158664,0.11147427,-0.25063676,0.37847716
279179640,0.114456825,-0.26526475,0.37221813
279202665,0.117439374,-0.27404153,0.36908862
279223650,0.12042193,-0.28281832,0.35657057
279245677,0.12042193,-0.2915951,0.35344103
279266706,0.12340449,-0.3003719,0.34718204
279288686,0.12638704,-0.3032975,0.3440525
279310668,0.1293696,-0.3091487,0.33153445
279331646,0.13235216,-0.3149999,0.334664
279353671,0.13235216,-0.31792548,0.33153445
279374917,0.13533473,-0.32085106,0.32527545
279398115,0.14129983,-0.3237767,0.3221459
279421277,0.14726494,-0.32962787,0.3221459
279443559,0.15323006,-0.33255345,0.31588688
279466671,0.15919517,-0.33255345,0.31275737
279487644,0.16516028,-0.33547908,0.30336884
279510520,0.1711254,-0.33547908,0.2971098
279533144,0.17410795,-0.33840466,0.2971098
279555523,0.18007307,-0.33840466,0.28146222
279578765,0.18603818,-0.33840466,0.27833274
279600692,0.19796841,-0.33840466,0.27207372
279622671,0.20095097,-0.34133026,0.27207372
279645148,0.2128812,-0.33840466,0.27207372
279667645,0.2188463,-0.33547908,0.26268518
279690717,0.23077653,-0.33547908,0.26268518
279711639,0.23674165,-0.33255345,0.24703759
279733643,0.2397242,-0.32962787,0.2501671
279755688,0.24867187,-0.32962787,0.23764907
279777639,0.254637,-0.32670227,0.23451954
279799640,0.254637,-0.32670227,0.23139003
279821638,0.2606021,-0.32670227,0.22826052
279842729,0.26358467,-0.32670227,0.21887198
279866750,0.26954976,-0.32670227,0.2220015
279891558,0.26954976,-0.3237767,0.21574245
279914668,0.2755149,-0.32670227,0.20948344
279935981,0.27849743,-0.32670227,0.20322442
279958858,0.27849743,-0.32670227,0.20009491
279981638,0.28446257,-0.32670227,0.19070637
280004639,0.28446257,-0.32670227,0.19070637
280026735,0.29042765,-0.3237767,0.18757685
280050547,0.2934102,-0.32085106,0.18757685
280072488,0.2963928,-0.3149999,0.18757685
280094906,0.30235788,-0.31207427,0.18757685
280117489,0.308323,-0.3091487,0.18444735
280140647,0.31130555,-0.3062231,0.17818831
280163529,0.31727067,-0.3032975,0.18444735
280187585,0.31727067,-0.3003719,0.18131782
280210737,0.32323578,-0.3003719,0.17818831
280234544,0.32323578,-0.2974463,0.18131782
280256490,0.32621837,-0.2945207,0.1750588
280278766,0.32621837,-0.2915951,0.1750588
280301523,0.33218345,-0.2886695,0.16567026
280324648,0.33516604,-0.2886695,0.16879977
280347526,0.34113112,-0.28281832,0.16879977
280370536,0.34113112,-0.27696714,0.15941124
280391590,0.34709623,-0.27404153,0.16567026
280413487,0.3500788,-0.26819032,0.15941124
280436649,0.35306135,-0.26233912,0.15628171
280458543,0.36200902,-0.25648797,0.15628171
280480481,0.36200902,-0.25356233,0.15002269
280502803,0.3649916,-0.25063676,0.14689317
280525486,0.36797413,-0.24478556,0.14376366
280548639,0.3709567,-0.23893437,0.14376366
280571700,0.37393928,-0.23308317,0.14689317
280593639,0.37990436,-0.22723198,0.14063415
280616520,0.38288692,-0.22138077,0.14063415
280640000,0.3858695,-0.21552959,0.13750465
280664115,0.3858695,-0.2096784,0.13750465
280687260,0.39481717,-0.2009016,0.14063415
280711044,0.39481717,-0.1950504,0.14063415
280732652,0.40078226,-0.18627362,0.13437513
280755576,0.4037648,-0.18042243,0.1281161
280777692,0.40972993,-0.17164563,0.11872756
280799117,0.40674737,-0.16286883,0.12185707
280823078,0.41271248,-0.15701765,0.12185707
280847116,0.41569507,-0.14531526,0.1281161
280871702,0.4186776,-0.13361287,0.12498658
280892639,0.4186776,-0.12776168,0.13124561
280913693,0.42166016,-0.118984886,0.1281161
280936639,0.42166016,-0.1102081,0.13437513
280959639,0.42762527,-0.1014313,0.1281161
280983686,0.42464274,-0.089728914,0.115598045
281003729,0.42762527,-0.08095213,0.11872756
281024676,0.42762527,-0.07510093,0.11872756
281045727,0.42762527,-0.06339855,0.115598045
281068638,0.43060783,-0.05754735,0.12185707
